1|USD|50|2026-01-05 08:08:53
1|USD|50|2026-01-05 08:08:53
1|USD|50|2026-01-05 08:08:53
1|USD|50|2026-01-05 08:08:53
1|USD|50|2026-01-05 08:08:53
1|USD|50|2026-01-05 08:08:53
1|PKR|89|2026-01-06 08:43:42
1|PKR|8|2026-01-06 12:00:17
4|USD|2|2026-01-06 17:35:00
4|PKR|1200|2026-01-06 17:35:41
4|PKR|12|2026-01-06 17:35:54
1|PKR|9|2026-01-06 17:37:21
1|USD|89|2026-01-06 17:38:23
1|PKR|777|2026-01-06 17:38:36
1|PKR|565|2026-01-06 23:12:39
1|PKR|454|2026-01-06 23:13:32
1|PKR|59|2026-01-06 23:34:04
1|1|89|2026-01-06 23:39:11
1|PKR|89|2026-01-06 23:39:12
1|USD|1292|2026-01-06 23:44:38
1|PKR|9921|2026-01-06 23:49:31
1|PKR|9922|2026-01-06 23:50:00
1|PKR|48488|2026-01-06 23:51:06
1|1|2233|2026-01-06 23:55:39
1|PKR|2233|2026-01-06 23:55:41
1|2|1299|2026-01-06 23:56:24
1|USD|1299|2026-01-06 23:56:26
1|1|89|2026-01-07 00:56:11
1|PKR|89|2026-01-07 00:56:13
1|1|5667|2026-01-07 00:56:24
1|PKR|5667|2026-01-07 00:56:25
1|1|32734|2026-01-07 00:57:33
1|PKR|32734|2026-01-07 00:57:35
